No,SRn,Vp,Is50,UCS
201,35.3,5550,2.36,39.53
202,36.5,5720,2.06,41.8
203,42.6,4333,3.12,56.14
204,35.8,5857,2.41,50.32
205,34.2,5073,2.75,26.83
206,38.4,5867,3.62,64.91
207,37.2,5923,2.2,35.72
208,41,4423,1.94,50.32
209,41,5163,3.68,40.9
210,35.6,6083,3.56,69.14
211,38.6,5870,2.37,35.25
212,38,5987,3.92,78.09
213,37.2,6093,2.09,47.02
214,42.8,3863,5.57,64.91
215,31.8,2797,2.55,56.91
216,43.6,3923,4.27,85.15
217,42.8,3707,2.17,42.31
218,44.2,3790,5.61,102.99
219,31.4,3143,2.22,53.45
220,45.4,5380,3.21,76.97
221,44.7,4650,3.99,58.2
222,36.2,5670,2.41,55.67
223,37.4,6013,2.56,58.51
224,35.5,6013,4.07,61.3
225,30.8,5173,2.1,32.95
226,39,6103,2.9,58.99
227,36.3,5843,1.94,66.74
228,44.3,6070,2.49,102.99
229,42.3,5430,2.54,103.93
230,38.8,6440,4.87,131.7
231,40.2,5430,3.57,32.01
232,40.2,5190,1.46,52.2
233,28.2,3643,0.58,24
234,33.8,3543,0.69,30.59
235,38.9,4813,6.07,82.79
236,35.9,3420,2.11,58.32
237,38.8,5390,3.97,53.14
238,42.2,5420,4.63,80.44
239,40.6,5267,5.39,95.03
240,41.6,5430,2.57,57.85
241,42.8,5257,5.47,60.2
242,41.8,5073,4.43,72.44
243,42.8,5233,3.62,70.56
244,43.6,5263,4.57,68.67
245,39.6,4930,2.02,76.67
246,38.4,5193,1.02,42.79
247,33,6180,2.7,73.84
248,32.4,6337,5.88,58.47
249,38.9,4813,3.35,71.5
250,34.9,5630,3.27,84.62
251,40,6363,2.66,138.68
252,38.7,6070,5.23,100.68
253,34.7,5590,2.33,54.24
254,34.5,5740,5.28,51.73
255,36,6080,1.37,59.73
256,31.6,5757,4.14,83
257,31.8,5073,1.81,62.68
258,36.5,5530,1.38,61.42
259,20.3,1761,2.36,20.3
260,36.1,3824,2.42,22.8
261,28.1,2598,1.75,23.1
262,46.2,3797,2.01,25
263,23.6,2559,1.08,25
264,16.8,2611,1.37,25.8
265,33.6,2909,3.11,26.3
266,37.4,3492,2.31,27.6
267,34.2,2778,1.81,28.2
268,48.5,2800,5.23,30.8
269,38.5,3477,4.25,33.8
270,33.4,2390,4.63,34.2
271,44.6,3713,4.87,36.6
272,38.5,3565,4.84,36.8
273,37.6,3679,3.25,37.4
274,49.3,3000,3.38,37.8
275,32.4,3669,2.68,38.1
276,49,2583,4.34,38.3
277,34.6,4339,4.83,38.9
278,32.2,4820,2.36,39.3
279,43.8,4532,3.96,40
280,44.1,3709,4.61,40.1
281,37.4,4082,3.38,40.9
282,37.1,3960,2.37,41
283,32.1,3623,3.6,41
284,42,3491,3.9,41.9
285,28.8,4738,5.48,42.7
286,34.7,3885,1.46,43.2
287,36.5,5011,2.17,43.2
288,35.1,3752,4.22,44.7
289,40.7,4270,4.5,44.8
290,38,3722,4.41,45.3
291,50.3,4209,3.25,45.5
292,40,4196,2.99,45.7
293,40.9,4146,4.44,45.7
294,43.4,4262,2.8,46.2
295,45.5,4025,5.05,46.4
296,39,3897,3.98,46.4
297,46,4186,4.28,46.6
298,42,4299,3.21,47.2
299,48.6,3704,6.51,47.5
300,42.9,3758,5.02,48.3
301,36.6,4386,5.75,48.9
302,43,5322,4.32,48.9
303,32.2,4128,4.79,49.4
304,42.9,4653,2.7,49.6
305,39,4637,3.5,50.2
306,47.1,3612,5.38,50.3
307,44.2,3785,4.85,50.4
308,45.9,4318,6.19,50.4
309,37.9,4856,4.51,50.7
310,45.6,4531,5.04,51.4
311,50.4,4695,5.44,51.7
312,49.4,4901,4.13,52
313,42.2,4980,2.9,52.8
314,42.6,4833,5.02,52.8
315,48.6,4139,3.35,53.5
316,42.6,3996,5.63,54.3
317,47.7,3975,5.68,55.1
